timestamp[ms],x_accel_raw,y_accel_raw,z_accel_raw,x_gyro_raw,y_gyro_raw,z_gyro_raw,pressure[Pa],state,liftoff_detect,top_detect,burnout_detect,latitude[°],longitude[°]
942934,482,71,2020,25,-39,-8,97327.625000,1,0,0,0,33.764679,130.896164
942944,480,146,2018,32,-30,-1,97327.625000,1,0,0,0,33.764679,130.896164
942954,454,41,2036,31,-39,-13,97328.375000,1,0,0,0,33.764679,130.896164
942964,485,71,2030,40,5,-105,97328.375000,1,0,0,0,33.764679,130.896164
942974,492,101,2012,37,-34,-39,97328.375000,1,0,0,0,33.764679,130.896164
942984,467,81,2028,21,-28,-98,97328.375000,1,0,0,0,33.764679,130.896164
942994,492,54,2030,48,-43,-83,97328.312500,1,0,0,0,33.764679,130.896164
943004,455,113,2038,26,-35,-95,97328.312500,1,0,0,0,33.764679,130.896164
943014,455,87,2016,43,-23,-105,97328.312500,1,0,0,0,33.764679,130.896164
943024,481,40,2017,31,-28,-73,97328.312500,1,0,0,0,33.764679,130.896164
943034,460,74,2020,29,-54,-29,97328.203125,1,0,0,0,33.764679,130.896164
943044,473,95,2025,58,11,-154,97328.203125,1,0,0,0,33.764679,130.896164
943054,504,25,2039,33,-18,-74,97328.203125,1,0,0,0,33.764679,130.896164
943064,495,83,2010,40,-14,-63,97328.203125,1,0,0,0,33.764679,130.896164
943074,489,115,2034,29,-20,-83,97328.796875,1,0,0,0,33.764679,130.896164
943084,493,69,2040,34,-10,-56,97328.796875,1,0,0,0,33.764679,130.896164
943094,485,71,2011,53,36,-84,97328.796875,1,0,0,0,33.764679,130.896164
943104,477,112,2023,41,-20,-87,97328.796875,1,0,0,0,33.764679,130.896164
943114,477,79,2014,33,-33,-46,97328.796875,1,0,0,0,33.764679,130.896164
943124,457,91,2039,52,-10,-50,97328.796875,1,0,0,0,33.764679,130.896164
943134,476,79,2032,64,-10,-103,97328.796875,1,0,0,0,33.764679,130.896164
943144,472,79,2035,40,-26,-82,97328.796875,1,0,0,0,33.764679,130.896164
943154,478,73,2014,34,-26,-98,97329.343750,1,0,0,0,33.764679,130.896164
943164,488,77,2043,48,-13,-95,97329.343750,1,0,0,0,33.764679,130.896164
943174,484,77,2025,39,-27,-80,97329.343750,1,0,0,0,33.764679,130.896164
943184,485,85,2028,51,-16,-87,97329.343750,1,0,0,0,33.764679,130.896164
943194,483,88,2024,42,-17,-79,97328.960938,1,0,0,0,33.764679,130.896164
943204,481,75,2014,65,-11,-82,97328.960938,1,0,0,0,33.764679,130.896164
943214,480,102,2020,42,1,-81,97328.960938,1,0,0,0,33.764679,130.896164
943224,476,88,2029,24,-33,-52,97328.960938,1,0,0,0,33.764679,130.896164
943234,457,67,2039,41,6,-83,97328.625000,1,0,0,0,33.764679,130.896164
943244,487,92,2016,27,-32,-32,97328.625000,1,0,0,0,33.764679,130.896164
943254,489,63,2018,34,-10,-78,97328.625000,1,0,0,0,33.764679,130.896164
