real,cpu
1137708,1216000
1169084,1235000
1121500,1181000
1227875,1268000
1184333,1248000
1007083,988000
1003042,995000
937250,934000
936667,937000
976958,959000
947625,947000
1015208,1016000
1032709,1000000
1089458,1010000
945833,946000
948750,945000
970334,972000
994000,991000
965500,951000
946291,947000
943459,943000
956625,957000
997125,997000
954375,955000
945083,945000
946792,942000
983583,973000
1128000,1121000
1080625,1018000
1005667,981000
958875,960000
961875,961000
984416,971000
973542,973000
999458,977000
966584,967000
990666,982000
994542,988000
960250,950000
950833,951000
994375,981000
961625,962000
968709,955000
1033416,998000
999542,1002000
1117250,1081000
1018625,994000
943625,942000
950792,950000
943541,944000
941667,941000
966375,966000
1090500,1169000
1192792,1316000
1160875,1274000
1195291,1301000
1291542,1413000
1217458,1297000
1064959,1069000
971083,956000
979667,979000
1039041,1007000
1169875,1076000
935875,936000
970042,960000
1029542,1005000
956083,956000
960583,960000
1031584,1001000
985666,977000
1014334,991000
1012166,1008000
992542,971000
941667,938000
971750,961000
1008875,984000
940541,941000
950084,950000
1086208,1061000
1114875,1024000
1016208,1004000
943750,941000
977000,962000
950250,951000
943584,943000
972000,972000
979708,980000
953167,954000
943125,942000
942166,942000
976042,970000
952917,953000
988541,975000
975625,975000
982500,982000
1000792,979000
1101958,1078000
1070292,1028000
969125,948000
937458,936000
1011625,1009000
961459,958000
951750,951000
963041,949000
938959,940000
974666,973000
1119917,1195000
1108333,1184000
1120209,1199000
1176250,1257000
1155916,1233000
1212834,1175000
1133791,1003000
949834,947000
937666,937000
954084,956000
966291,965000
948667,948000
938375,939000
941625,941000
933458,937000
1003667,996000
1012042,1001000
991375,978000
950583,946000
989875,968000
1074917,1065000
1217291,1157000
1064292,1016000
945792,946000
941583,944000
939083,936000
947792,947000
970500,971000
949000,949000
964667,965000
1032791,996000
951209,951000
947208,947000
955250,955000
966042,967000
958166,963000
986750,967000
945209,946000
966583,967000
1068125,1017000
1126042,1097000
1066375,1014000
946333,945000
991792,977000
1034958,1014000
982042,974000
975666,958000
943959,944000
980541,971000
998250,988000
971125,965000
974584,961000
939666,940000
982334,962000
1061833,1062000
1105167,1063000
997791,971000
946584,946000
940708,941000
961833,964000
